title,type,release_year,age_certification,runtime,genres,production_countries,seasons,imdb_id,imdb_score,imdb_votes
Sunny Bunnies,SHOW,2015,TV-Y,3,"['animation', 'family']",['BY'],4.0,tt7264084,6.6,95.0
Cinderella and Four Knights,SHOW,2016,TV-PG,61,"['comedy', 'drama', 'romance']",['KR'],1.0,tt5764414,7.5,3663.0
Legends of the Hidden Temple,MOVIE,2016,PG,68,['family'],['US'],,tt5333842,5.7,896.0
Simon,SHOW,2016,TV-Y,5,"['animation', 'comedy', 'family']",['FR'],2.0,tt7699866,7.0,127.0
David Brent: Life on the Road,MOVIE,2016,,96,"['comedy', 'music', 'action']",['GB'],,tt6852304,6.3,20005.0
Conspiracy,SHOW,2015,TV-14,43,"['documentation', 'history', 'european']",['GB'],1.0,tt4761054,6.2,367.0
The Sound of Your Heart,SHOW,2016,,24,"['drama', 'comedy']",['KR'],2.0,tt4613520,8.2,1075.0
Spotless,SHOW,2015,TV-MA,58,"['drama', 'comedy', 'crime', 'european']",['FR'],1.0,tt10800582,7.7,3635.0
Message from the King,MOVIE,2016,R,102,"['thriller', 'drama', 'action', 'crime', 'european']",['FR'],,tt1712192,6.4,16180.0
Sebastian Maniscalco: Why Would You Do That?,MOVIE,2016,,63,['comedy'],['US'],,tt6295304,7.3,1063.0
Club de Cuervos,SHOW,2015,TV-MA,44,"['comedy', 'drama']",['MX'],4.0,tt4680240,8.2,5514.0
Little Things,SHOW,2016,TV-MA,25,"['comedy', 'drama', 'romance']",['IN'],4.0,tt6522580,8.2,6461.0
Care Bears and Cousins,SHOW,2015,TV-Y,23,['animation'],['US'],2.0,tt4680360,6.8,82.0
Sleight,MOVIE,2016,R,89,"['thriller', 'crime', 'drama', 'scifi', 'action']",['US'],,tt4573516,5.9,8644.0
Sniper: Ghost Shooter,MOVIE,2016,R,100,['drama'],['US'],,,,
Middle School: The Worst Years of My Life,MOVIE,2016,PG,92,"['comedy', 'family', 'animation']",['US'],,tt4981636,6.0,8972.0
Kuromukuro,SHOW,2016,TV-14,24,"['comedy', 'drama', 'action', 'scifi', 'animation']",['JP'],2.0,tt5895314,7.2,1265.0
Rock the Kasbah,MOVIE,2015,R,100,"['comedy', 'music', 'war']","['MA', 'US']",,tt3165590,5.5,11963.0
Marseille,SHOW,2016,TV-MA,46,"['drama', 'european']",['FR'],2.0,tt4003966,6.9,5083.0
Puffin Rock,SHOW,2015,TV-Y,11,"['animation', 'family', 'comedy', 'european']",['IE'],2.0,tt3590338,8.7,891.0
Chef's Table: France,SHOW,2016,TV-14,60,['documentation'],['US'],1.0,tt6088326,8.2,1723.0
Veteran,MOVIE,2015,,124,"['crime', 'thriller', 'action', 'comedy']",['KR'],,tt4768764,7.0,6501.0
A Very Murray Christmas,MOVIE,2015,,56,"['comedy', 'music']",['US'],,tt4537842,5.5,15428.0
The Method,SHOW,2015,TV-MA,51,"['drama', 'thriller', 'crime']",['RU'],2.0,tt5135336,7.4,2784.0
Skylanders Academy,SHOW,2016,TV-Y7,23,"['action', 'animation', 'comedy', 'family', 'fantasy']",['US'],3.0,tt5916218,6.7,730.0
Kevin Hart: What Now?,MOVIE,2016,R,96,"['comedy', 'documentation']",['US'],,tt4669186,5.9,9458.0
Extraction,MOVIE,2015,R,92,"['thriller', 'action']","['GB', 'US']",,tt4382872,4.1,11180.0
Tramps,MOVIE,2016,,83,"['romance', 'comedy', 'documentation', 'european']",['US'],,tt9049178,6.5,5460.0
The Warriors Gate,MOVIE,2016,PG-13,108,"['action', 'comedy', 'family', 'fantasy', 'european']","['CA', 'CN', 'FR']",,tt4652532,5.4,5057.0
The Dreamseller,MOVIE,2016,,96,['drama'],['BR'],,tt5496926,6.0,1438.0
LEGO Marvel Super Heroes: Avengers Reassembled!,MOVIE,2015,,22,"['animation', 'comedy', 'scifi', 'action']",['US'],,tt5371572,6.1,843.0
Incarnate,MOVIE,2016,PG-13,91,"['horror', 'thriller']",['US'],,tt3216348,5.2,12918.0
Güeros,MOVIE,2015,,106,"['drama', 'comedy']",['MX'],,tt3499048,7.4,4120.0
Term Life,MOVIE,2016,R,93,"['thriller', 'action', 'crime', 'drama']",['US'],,tt2978102,5.6,7860.0
The Distinguished Citizen,MOVIE,2016,,118,"['comedy', 'drama', 'european']","['AR', 'ES']",,tt4562518,7.5,11495.0
Drishyam,MOVIE,2015,R,163,"['thriller', 'crime', 'drama']",['IN'],,tt4430212,8.2,79075.0
Tig,MOVIE,2015,,95,['documentation'],['US'],,tt3986532,7.4,2649.0
John Mulaney: The Comeback Kid,MOVIE,2015,PG,62,"['comedy', 'documentation']",['US'],,tt5069564,7.9,8471.0
Kathleen Madigan: Bothering Jesus,MOVIE,2016,R,71,['comedy'],['XX'],,,,
"Can't Cope, Won't Cope",SHOW,2016,TV-MA,23,"['drama', 'comedy', 'european']",['IE'],2.0,tt5674872,7.3,880.0
Rocco,MOVIE,2016,,105,"['documentation', 'european']",['FR'],,tt5788462,5.7,3972.0
Minimalism: A Documentary About the Important Things,MOVIE,2015,,79,['documentation'],['US'],,tt4685424,6.7,15656.0
Lego Bionicle: The Journey to One,SHOW,2016,TV-Y7,17,"['animation', 'action', 'fantasy', 'scifi']",['US'],2.0,tt5075942,5.5,170.0
The Mr. Peabody & Sherman Show,SHOW,2015,,23,"['comedy', 'scifi', 'animation', 'family', 'history']",['US'],4.0,tt5021206,5.7,433.0
Fate/Grand Order: First Order,MOVIE,2016,,72,"['fantasy', 'animation']",['JP'],,tt6213810,5.7,865.0
Inspector Gadget,SHOW,2015,TV-Y,21,"['action', 'comedy', 'family', 'scifi', 'animation']","['CA', 'US']",4.0,tt3910690,4.5,614.0
Lavender,MOVIE,2016,,92,"['thriller', 'drama']","['CA', 'US']",,tt9237490,5.3,7005.0
Heidi,SHOW,2015,TV-Y,27,"['drama', 'family', 'animation', 'european']","['DE', 'AU', 'FR']",2.0,tt4346362,7.2,234.0
True Memoirs of an International Assassin,MOVIE,2016,PG-13,98,"['action', 'comedy', 'crime']",['US'],,tt1542768,5.9,22466.0
Danger Mouse,SHOW,2015,,12,"['comedy', 'crime', 'family', 'fantasy', 'scifi', 'animation', 'action', 'european']",['GB'],2.0,tt4196822,7.2,579.0
The Darkness,MOVIE,2016,PG-13,92,"['thriller', 'horror']",['US'],,tt1878841,4.5,15848.0
Hot Girls Wanted,MOVIE,2015,,84,['documentation'],['US'],,tt4382552,6.1,17447.0
Haters Back Off,SHOW,2016,TV-14,30,"['comedy', 'drama', 'family', 'romance']",['US'],2.0,tt5467814,6.1,7183.0
Intersection,SHOW,2016,TV-MA,97,['drama'],['TR'],2.0,tt5303668,6.7,1152.0
Terrace House: Boys & Girls in the City,SHOW,2015,TV-14,29,"['reality', 'drama']",['JP'],1.0,tt4790546,8.1,1624.0
High & Low The Movie,MOVIE,2016,,129,['action'],['JP'],,tt5659172,6.6,563.0
The K2,SHOW,2016,TV-14,65,"['war', 'drama', 'romance', 'thriller']",['KR'],1.0,tt8535796,7.9,5615.0
Dinotrux,SHOW,2015,TV-Y7,23,"['action', 'comedy', 'family', 'animation']",['US'],5.0,tt1396212,6.8,458.0
"Hello, My Twenties!",SHOW,2016,TV-14,63,"['comedy', 'drama', 'romance']",['KR'],2.0,tt5858892,8.3,2127.0
Dawn of the Croods,SHOW,2015,TV-Y7,23,"['comedy', 'family', 'animation']",['US'],4.0,tt5193172,5.8,712.0
Anthony Jeselnik: Thoughts and Prayers,MOVIE,2015,,59,['comedy'],['US'],,,,
Kong: King of the Apes,SHOW,2016,TV-Y7,21,"['animation', 'scifi', 'action', 'comedy', 'family']",['US'],2.0,tt5462936,5.9,325.0
Pandora,MOVIE,2016,R,136,"['drama', 'action', 'thriller']",['KR'],,tt6302160,6.6,7304.0
Ok Kanmani,MOVIE,2015,PG,139,"['drama', 'romance']",['IN'],,tt4271820,7.5,5722.0
Bella and the Bulldogs,SHOW,2015,TV-G,23,"['comedy', 'family', 'sport']",['US'],2.0,tt3596178,5.0,2114.0
Unnatural Selection,SHOW,2015,TV-MA,35,"['reality', 'documentation', 'comedy']",['US'],1.0,tt11063952,8.1,12.0
The Lighthouse of the Orcas,MOVIE,2016,,110,"['drama', 'romance', 'european']","['AR', 'ES']",,tt4944658,6.8,3844.0
Sin senos sí hay paraíso,SHOW,2016,TV-MA,47,"['action', 'drama', 'romance', 'crime']",['CO'],4.0,tt5676412,6.5,546.0
Cooked,SHOW,2016,TV-PG,53,['documentation'],['US'],1.0,tt5347906,7.6,43.0
Shaun the Sheep: The Farmer's Llamas,MOVIE,2015,,30,"['comedy', 'animation', 'family']",['GB'],,tt5174284,6.8,1364.0
The Devil's Mistress,MOVIE,2016,,111,"['romance', 'drama', 'history', 'european']","['SK', 'CZ']",,tt4240406,5.8,2325.0
Opening Night,MOVIE,2016,,90,"['comedy', 'thriller', 'drama', 'action', 'crime']",['US'],,tt8215284,6.0,2610.0
LEGO Jurassic World: The Indominus Escape,MOVIE,2016,G,24,"['family', 'animation', 'comedy']",['US'],,,,
Mossad 101,SHOW,2015,TV-MA,42,"['action', 'drama']",['IL'],2.0,tt4354042,6.8,632.0
"Surviving Compton: Dre, Suge and Michel'le",MOVIE,2016,,87,"['drama', 'documentation']",['US'],,tt8070856,6.6,645.0
Secrets of Great British Castles,SHOW,2015,TV-PG,51,"['documentation', 'history', 'european']",['GB'],2.0,tt5181284,7.8,1031.0
Netflix Presents: The Characters,SHOW,2016,TV-MA,31,['comedy'],['US'],1.0,tt5228026,5.3,835.0
Project Mc²,SHOW,2015,TV-G,24,['family'],['US'],6.0,tt4861760,6.1,985.0
Kapoor & Sons,MOVIE,2016,PG-13,132,"['romance', 'comedy', 'drama', 'family']",['IN'],,tt4900716,7.7,25792.0
El Chema,SHOW,2016,TV-MA,44,"['drama', 'action', 'crime']",['US'],1.0,tt5730624,6.9,303.0
Tokyo Trial,SHOW,2016,TV-MA,49,"['drama', 'history']","['JP', 'US']",1.0,tt6422918,7.4,1544.0
Love O2O,SHOW,2016,TV-14,45,"['drama', 'romance']",['CN'],1.0,tt6092878,8.0,2322.0
Baaghi,MOVIE,2016,,133,"['thriller', 'action', 'romance']",['IN'],,tt4864932,5.3,8826.0
Good Morning Call,SHOW,2016,TV-14,48,"['comedy', 'drama', 'romance']",['JP'],2.0,tt5520732,7.7,3088.0
Mercy,MOVIE,2016,,82,"['thriller', 'drama']",['US'],,tt5710042,4.1,3402.0
Our Lovers,MOVIE,2016,,88,"['comedy', 'drama', 'romance', 'european']",['ES'],,tt4631532,6.7,4140.0
Inside the World's Toughest Prisons,SHOW,2016,TV-MA,48,"['crime', 'documentation']",['GB'],5.0,tt8594220,7.1,2747.0
Septembers of Shiraz,MOVIE,2015,PG-13,110,"['drama', 'thriller', 'western']",['US'],,tt3661298,7.9,38.0
Ordinary World,MOVIE,2016,,86,"['drama', 'family', 'comedy', 'music']",['US'],,tt6102594,5.5,3034.0
Beat Bugs,SHOW,2016,TV-Y,15,"['animation', 'family', 'fantasy', 'comedy']",['AU'],3.0,tt4716268,7.6,522.0
Dhanak,MOVIE,2015,,106,"['drama', 'comedy']",['IN'],,tt4088770,7.9,3893.0
The Visit,MOVIE,2015,,130,"['comedy', 'romance', 'thriller']",[],,tt15119398,,
Jeff Foxworthy & Larry the Cable Guy: We've Been Thinking,MOVIE,2016,,74,['comedy'],['US'],,tt5571712,5.6,614.0
Captive,SHOW,2016,,63,"['documentation', 'drama', 'european']",['US'],1.0,tt6246500,6.8,724.0
Demetri Martin: Live (At The Time),MOVIE,2015,,61,"['comedy', 'documentation']",['US'],,tt4512714,7.4,2163.0
Brothers,MOVIE,2015,PG-13,156,"['drama', 'action', 'sport']",['IN'],,tt3802576,6.4,12886.0
Another Miss Oh,SHOW,2016,TV-MA,69,"['drama', 'fantasy', 'romance', 'comedy']",['KR'],1.0,tt5679572,7.9,1769.0
Rebirth,MOVIE,2016,,101,['thriller'],['US'],,tt4902716,4.9,5156.0
Audrie & Daisy,MOVIE,2016,,95,"['documentation', 'crime']",['US'],,tt5278460,7.2,6586.0
T@gged,SHOW,2016,TV-14,22,"['drama', 'thriller', 'reality']",['US'],3.0,tt5881326,7.3,2012.0
Riot,MOVIE,2015,,87,['action'],['US'],,tt4642044,5.1,3332.0
Anjelah Johnson: Not Fancy,MOVIE,2015,,63,"['comedy', 'documentation']",['US'],,tt4199110,5.7,686.0
The Deep,SHOW,2015,TV-Y7,22,"['action', 'animation', 'family', 'scifi']",['AU'],3.0,tt4991910,8.1,645.0
La Niña,SHOW,2016,TV-MA,45,"['action', 'drama']",['CO'],1.0,tt5677942,8.3,642.0
Colin Quinn: The New York Story,MOVIE,2016,,62,['comedy'],['US'],,tt6257714,6.8,990.0
Ask the Storybots,SHOW,2016,TV-Y,26,"['animation', 'comedy', 'family']",['US'],3.0,tt5846856,8.4,870.0
Divines,MOVIE,2016,,105,"['drama', 'crime', 'european']","['QA', 'FR']",,tt4730986,7.4,9739.0
MindGamers,MOVIE,2015,,97,"['thriller', 'action', 'scifi', 'european']",['AT'],,tt3625516,3.6,1093.0
La esclava blanca,SHOW,2016,TV-MA,41,['history'],['CO'],1.0,tt5458128,8.1,575.0
Tony Robbins: I Am Not Your Guru,MOVIE,2016,,115,['documentation'],['US'],,tt5151716,6.7,4335.0
I Am Michael,MOVIE,2015,,98,"['drama', 'romance']",['US'],,tt5116866,5.6,5495.0
Justin Timberlake + The Tennessee Kids,MOVIE,2016,,90,"['documentation', 'music']",['US'],,tt5001772,7.8,2173.0
World of Winx,SHOW,2016,TV-Y7,23,"['action', 'animation', 'comedy', 'family', 'fantasy', 'european']","['US', 'IT']",2.0,tt5874596,6.6,715.0
Heneral Luna,MOVIE,2015,R,118,"['action', 'drama', 'history', 'war']",['PH'],,tt4944352,7.4,2089.0
Un + une,MOVIE,2015,,115,"['comedy', 'drama', 'european', 'romance']",['FR'],,tt4388506,6.2,2279.0
Mucize,MOVIE,2015,PG-13,136,"['drama', 'comedy', 'romance', 'documentation', 'european']",['TR'],,tt6876670,7.7,12395.0
Pororo the Little Penguin,SHOW,2016,,8,"['scifi', 'family', 'animation']",['KR'],6.0,tt13527330,6.3,88.0
The Heirs,MOVIE,2015,,71,['drama'],['MX'],,tt2903370,5.7,224.0
72 Cutest Animals,SHOW,2016,,27,['documentation'],['AU'],1.0,tt5815824,5.7,433.0
Richie Rich,SHOW,2015,TV-PG,22,['comedy'],['US'],2.0,tt4162898,3.1,1041.0
Gabriel Iglesias: I'm Sorry for What I Said When I Was Hungry,MOVIE,2016,PG-13,87,"['comedy', 'documentation']",['US'],,tt6302122,7.4,2519.0
In the Shadow of Iris,MOVIE,2016,,99,"['thriller', 'drama', 'crime', 'european']",['FR'],,tt5598110,6.1,4256.0
Jim Jefferies: Freedumb,MOVIE,2016,R,86,"['comedy', 'documentation']",['US'],,tt5849950,7.7,5393.0
Force 2,MOVIE,2016,PG,123,"['crime', 'action', 'thriller']",['IN'],,tt5156746,6.2,5501.0
Couple Of Days,MOVIE,2016,,103,['drama'],['NG'],,tt9741588,6.4,21.0
3000 Nights,MOVIE,2015,,103,['drama'],"['QA', 'PS', 'AE', 'FR', 'JO', 'LB']",,tt5342778,7.1,676.0
6 Years,MOVIE,2015,,84,"['romance', 'drama']",['US'],,tt3984280,5.6,12441.0
Tamasha,MOVIE,2015,PG,139,"['drama', 'comedy', 'romance']",['IN'],,tt3148502,7.4,26790.0
Manson Family Vacation,MOVIE,2015,,85,"['drama', 'comedy', 'thriller']",['US'],,tt4154218,5.8,2965.0
Garfunkel and Oates: Trying to be Special,MOVIE,2016,,62,"['comedy', 'music']",['US'],,tt5602318,7.3,899.0
LEGO Friends: The Power of Friendship,SHOW,2016,TV-Y,23,['animation'],['US'],2.0,tt6464612,6.5,49.0
Strange Weather,MOVIE,2016,R,95,['drama'],['US'],,tt5205210,6.0,1499.0
Rainbow Time,MOVIE,2016,,91,"['drama', 'comedy']",['US'],,tt5167174,5.9,710.0
Extremis,MOVIE,2016,,24,['documentation'],['US'],,,,
Much Loved,MOVIE,2015,,108,"['drama', 'european']","['MA', 'FR']",,tt4685750,6.2,2722.0
The Good Cop,SHOW,2015,TV-MA,30,"['comedy', 'drama']",['IL'],3.0,tt6070434,7.7,370.0
Always Be My Maybe,MOVIE,2016,,112,"['comedy', 'romance']",['PH'],,tt5341036,6.7,372.0
Tales by Light,SHOW,2015,,27,['documentation'],['AU'],3.0,tt5350276,8.3,1905.0
The Guardian Brothers,MOVIE,2016,PG,103,"['animation', 'family', 'fantasy', 'comedy']",['CN'],,tt4788934,5.4,2100.0
"Chatô, The King of Brazil",MOVIE,2015,,100,"['comedy', 'drama']",['BR'],,tt0337926,5.4,18.0
Open Season: Scared Silly,MOVIE,2015,PG,85,['animation'],"['US', 'CA']",,,,
One More Time,SHOW,2016,TV-14,31,"['scifi', 'drama', 'fantasy']",['KR'],1.0,tt6212990,6.9,564.0
My Runway,SHOW,2016,TV-14,25,"['comedy', 'drama', 'fantasy', 'romance']",['KR'],1.0,tt6968336,6.3,261.0
Riphagen the Untouchable,MOVIE,2016,,132,"['thriller', 'war', 'drama', 'european']",['NL'],,tt4969044,7.1,7701.0
The 101-Year-Old Man Who Skipped Out on the Bill and Disappeared,MOVIE,2016,,108,"['comedy', 'crime', 'european']",['SE'],,tt4940370,6.3,5976.0
Dear My Friends,SHOW,2016,TV-MA,70,"['drama', 'comedy']",['KR'],1.0,tt5689030,8.2,355.0
Toon,SHOW,2016,TV-MA,27,['comedy'],['NL'],2.0,tt5698140,7.6,890.0
White Nights,SHOW,2016,,62,['drama'],['KR'],1.0,tt6168004,6.9,287.0
Udta Punjab,MOVIE,2016,R,148,"['crime', 'action', 'drama']",['IN'],,tt4434004,7.8,29819.0
The Paper,SHOW,2016,TV-MA,48,"['drama', 'crime', 'action']",['HR'],3.0,tt0341957,7.4,64.0
Toro,MOVIE,2016,R,105,"['thriller', 'action', 'crime', 'drama', 'european']","['ES', 'FR']",,tt4213806,5.9,3209.0
Jeff Dunham: Unhinged in Hollywood,MOVIE,2015,PG,60,['comedy'],['US'],,tt5038776,6.7,713.0
Tom Segura: Mostly Stories,MOVIE,2016,,73,"['comedy', 'documentation']",['US'],,tt4970632,7.5,3508.0
Hunterrr,MOVIE,2015,R,141,"['romance', 'drama', 'comedy']",['IN'],,tt4333674,7.0,6199.0
H20: Mermaid Adventures,SHOW,2015,TV-Y,24,"['comedy', 'drama', 'family', 'fantasy', 'romance', 'animation', 'european']",['FR'],2.0,tt4610750,5.7,182.0
Colin Quinn: Unconstitutional,MOVIE,2015,,55,['comedy'],['US'],,tt4392266,7.0,465.0
Keith Richards: Under the Influence,MOVIE,2015,PG,82,"['music', 'documentation']",['US'],,tt4900018,7.1,3357.0
Terrace House: Aloha State,SHOW,2016,,36,"['reality', 'drama']",['JP'],4.0,tt6588218,7.5,979.0
Stories by Rabindranath Tagore,SHOW,2015,TV-PG,43,['drama'],['IN'],1.0,tt4853764,8.8,1295.0
The Haunted House,SHOW,2016,TV-PG,25,"['thriller', 'fantasy', 'horror', 'animation', 'comedy', 'drama', 'family']",['KR'],7.0,tt9518312,8.4,71.0
Ralphie May: Unruly,MOVIE,2015,,83,['comedy'],['US'],,,,
Cheer Squad,SHOW,2016,TV-PG,42,['reality'],['CA'],1.0,tt5993744,7.2,166.0
Mohenjo Daro,MOVIE,2016,,155,"['romance', 'drama', 'history', 'action']",['IN'],,tt3859980,5.6,11595.0
4K Fireplace,MOVIE,2015,G,181,"['family', 'reality']",['US'],,tt5275236,7.7,48.0
Zip & Zap and the Captain's Island,MOVIE,2016,,105,"['comedy', 'scifi', 'family', 'fantasy', 'european']",['ES'],,tt4110400,5.8,605.0
72 Dangerous Places to Live,SHOW,2016,TV-PG,49,['documentation'],['AU'],1.0,tt5674272,6.2,344.0
Paquita Salas,SHOW,2016,,26,"['comedy', 'european']",['ES'],3.0,tt5866074,8.0,3087.0
Smoke & Mirrors,MOVIE,2016,R,123,"['thriller', 'european']",['ES'],,tt1713440,6.9,7900.0
Nightmare Teacher,SHOW,2016,TV-MA,16,"['drama', 'horror', 'thriller']",['KR'],1.0,tt6209442,7.1,423.0
Три кота,SHOW,2015,TV-Y,5,"['scifi', 'comedy', 'family', 'animation']",['RU'],3.0,tt7038964,6.8,95.0
I Called Him Morgan,MOVIE,2016,,91,"['music', 'documentation', 'history', 'drama', 'european']","['SE', 'US']",,tt4170344,7.3,1785.0
The Next Skin,MOVIE,2016,,100,"['thriller', 'drama', 'european']",['ES'],,tt5139326,6.2,1820.0
Old Money,SHOW,2015,TV-MA,47,"['comedy', 'drama', 'european']",['AT'],1.0,tt3701442,7.3,493.0
Belgica,MOVIE,2016,,127,"['drama', 'european']","['FR', 'BE']",,tt3544218,6.7,4478.0
Taxi Driver,MOVIE,2015,,100,"['crime', 'drama', 'comedy']",['NG'],,tt5112438,6.0,68.0
XOXO,MOVIE,2016,,92,"['music', 'drama']",['US'],,tt4855748,5.3,6981.0
The White Helmets,MOVIE,2016,,40,"['war', 'documentation']","['SY', 'GB']",,,,
Rainbow Ruby,SHOW,2016,TV-Y,11,"['animation', 'comedy', 'family', 'fantasy']",['CN'],4.0,tt5828144,6.5,77.0
Ali Wong: Baby Cobra,MOVIE,2016,,60,['comedy'],['US'],,tt5066574,7.5,6925.0
Fearless,SHOW,2016,,43,"['documentation', 'reality']",['US'],2.0,tt9556710,7.1,299.0
The Lion Woman,MOVIE,2016,PG-13,126,"['drama', 'european']","['NO', 'SE']",,tt4677578,6.6,1408.0
Prem Ratan Dhan Payo,MOVIE,2015,,164,"['action', 'drama', 'family', 'romance']",['IN'],,tt5242900,4.4,21487.0
The Beginning of Life,MOVIE,2016,G,98,"['documentation', 'family']",['BR'],,tt5140248,7.6,934.0
Pyaar Ka Punchnama 2,MOVIE,2015,PG-13,159,"['comedy', 'drama', 'romance']",['IN'],,tt4430136,7.3,14968.0
Atelier,SHOW,2015,TV-14,69,"['drama', 'documentation', 'comedy']",['JP'],1.0,tt2303188,6.3,7.0
The Truth Seekers,SHOW,2016,TV-MA,44,"['drama', 'action']",['SG'],1.0,tt7131694,7.1,16.0
Chris Tucker: Live,MOVIE,2015,,92,"['comedy', 'documentation']",['US'],,tt4835636,6.3,1936.0
Schubert in Love,MOVIE,2016,,95,"['comedy', 'european']",['DE'],,tt5186874,5.0,356.0
Chelsea,SHOW,2016,TV-MA,57,['comedy'],['US'],2.0,tt5672036,6.1,2051.0
Home: Adventures with Tip & Oh,SHOW,2016,TV-Y7,21,"['comedy', 'family', 'fantasy', 'scifi', 'animation']",['US'],4.0,tt5759196,5.9,603.0
Dinosaur World,MOVIE,2015,,65,"['animation', 'comedy', 'drama']",['IN'],,tt6536576,,
Raman Raghav 2.0,MOVIE,2016,,134,"['thriller', 'crime', 'drama']",['IN'],,tt5662932,7.4,14380.0
White Rabbit Project,SHOW,2016,TV-PG,48,['reality'],['US'],1.0,tt6048644,6.9,1665.0
Witch Hunt: A Century of Murder,SHOW,2015,TV-14,46,"['crime', 'history', 'fantasy', 'drama', 'european']",['GB'],1.0,tt6474054,7.2,319.0
The Princess Weiyoung,SHOW,2016,TV-14,45,"['drama', 'history', 'romance']",['CN'],1.0,tt6353308,7.9,767.0
Mind Game,SHOW,2015,TV-14,44,"['drama', 'action', 'crime']","['JP', 'US']",1.0,tt8879588,7.5,12.0
Chelsea Does,SHOW,2016,TV-MA,60,['documentation'],['US'],1.0,tt5275894,7.3,2471.0
Real Rob,SHOW,2015,TV-14,31,['comedy'],['US'],2.0,tt3741346,6.4,2801.0
Slam,MOVIE,2016,,100,"['comedy', 'romance', 'drama', 'european']",['IT'],,tt4379536,6.1,1308.0
Gridlocked,MOVIE,2016,R,114,['action'],['CA'],,tt2724532,5.8,4570.0
Jessica Darling's It List,MOVIE,2016,,79,['family'],['US'],,tt5213744,5.5,973.0
StoryBots Super Songs,SHOW,2016,TV-Y,21,"['animation', 'family']",['US'],1.0,tt6163070,8.8,167.0
Chocolate City: Vegas Strip,MOVIE,2016,PG-13,89,['drama'],['US'],,tt5485482,3.7,297.0
Journey to Greenland,MOVIE,2016,,98,"['drama', 'comedy', 'european']","['GL', 'FR']",,tt4641248,6.3,1336.0
Fifty,MOVIE,2015,,101,"['romance', 'drama', 'sport', 'thriller']",['NG'],,tt7440582,6.1,259.0
All About Asado,MOVIE,2016,,90,['documentation'],['AR'],,tt6079360,6.5,566.0
Phantom,MOVIE,2015,,136,"['thriller', 'action', 'drama', 'horror', 'crime', 'european']",['IN'],,tt3469244,5.9,9145.0
The Ivory Game,MOVIE,2016,,112,"['documentation', 'european']","['US', 'AT']",,tt5952534,7.9,3243.0
HiGH&LOW: The Red Rain,MOVIE,2016,,110,"['action', 'drama']",['JP'],,tt5923040,6.2,277.0
Lens,MOVIE,2016,,109,"['thriller', 'drama']",['IN'],,tt4818776,6.6,1212.0
Selfie 69,MOVIE,2016,,116,"['romance', 'comedy', 'action', 'european']",['RO'],,tt4796634,6.1,1700.0
Ali Baba and the 7 Dwarfs,MOVIE,2015,PG-13,114,"['comedy', 'action', 'drama']",['TR'],,tt6450052,5.8,19834.0
Ghost Patrol,MOVIE,2016,,50,['animation'],['CA'],,tt6111628,5.1,221.0
Talvar,MOVIE,2015,PG,132,"['thriller', 'crime', 'drama']",['IN'],,tt4934950,8.1,34659.0
"Liar, Liar, Vampire",MOVIE,2015,G,66,"['comedy', 'family']",['US'],,tt4448304,5.8,940.0
I'll Sleep When I'm Dead,MOVIE,2016,,82,['documentation'],['US'],,tt4679136,6.6,1358.0
Dil Dhadakne Do,MOVIE,2015,PG-13,170,"['drama', 'comedy', 'romance']",['IN'],,tt4110568,7.0,17149.0
Wazir,MOVIE,2016,PG-13,103,"['thriller', 'crime', 'action', 'drama']",['IN'],,tt0315642,7.2,18681.0
Cosmos Laundromat,MOVIE,2015,,12,['fantasy'],['NL'],,,,
The Worthy,MOVIE,2016,,95,"['scifi', 'thriller', 'family', 'fantasy', 'action', 'european']",['AE'],,tt4943218,5.1,1981.0
Kyaa Kool Hain Hum 3,MOVIE,2016,,124,['comedy'],['IN'],,tt5290620,1.9,4341.0
Chronically Metropolitan,MOVIE,2016,,86,"['drama', 'comedy']",['US'],,tt5078796,5.0,1503.0
1898: Our Last Men in the Philippines,MOVIE,2016,PG-13,130,"['drama', 'history', 'war', 'european']",['ES'],,tt5698568,6.5,3281.0
Sofía Niño de Rivera: Exposed,MOVIE,2016,,80,['comedy'],['MX'],,tt5886430,7.3,299.0
Russell Peters: Almost Famous,MOVIE,2016,,73,['comedy'],['US'],,tt5946232,6.5,1882.0
Miss in Kiss,SHOW,2016,TV-14,36,"['comedy', 'drama']",['TW'],1.0,tt6954524,7.7,98.0
Ludo,MOVIE,2015,,90,"['horror', 'thriller', 'fantasy']",['IN'],,tt3724898,2.8,825.0
Everything About Her,MOVIE,2016,,126,"['comedy', 'drama']",['PH'],,tt3860092,7.1,328.0
#FollowFriday,MOVIE,2016,,90,['thriller'],['US'],,tt5233106,2.7,382.0
Eddie: Strongman,MOVIE,2015,,98,['documentation'],['GB'],,tt4334636,7.4,1158.0
Gabbar Is Back,MOVIE,2015,PG-13,130,"['drama', 'action', 'crime', 'comedy']",['IN'],,tt2424988,7.2,24676.0
The Massively Mixed-Up Middle School Mystery,MOVIE,2015,,39,['comedy'],['XX'],,tt3521770,7.3,78.0
Jonah,MOVIE,2016,PG,97,"['thriller', 'drama', 'romance', 'family']",['BR'],,tt4789272,5.4,230.0
Coach Snoop,SHOW,2016,TV-MA,29,['documentation'],['US'],2.0,tt5697642,6.8,583.0
Motu Patlu: King Of Kings,MOVIE,2016,G,109,"['animation', 'comedy']",['IN'],,tt6278732,6.8,157.0
